time,X, Y
0,60,50.18
1,120,90.54
2,180,121.08
3,240,141.8
4,300,152.7
5,360,153.78
6,420,145.04
7,480,126.48
8,540,98.1
9,600,59.9
10,660,11.88
11,720,0
12,779,0
13,838,10.18
14,897,10.54
15,956,21.08
16,1015,21.8
17,1074,12.7
18,1133,0
19,1191,0
20,1248,0
